,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
57,Australian Open,19910114,SF,242.0,6-4 5-7 3-6 7-6(3) 6-4,Ivan Lendl,Stefan Edberg,0.5669513930390733,2,2.0,1,2,0.45454545454545453,22.0
58,Wimbledon,20160627,SF,204.0,6-3 6-7(3) 4-6 7-5 6-3,Milos Raonic,Roger Federer,0.5666170636614587,2,2.2,1,2,0.7647058823529411,17.0
59,Wimbledon,20090622,SF,187.0,6-4 4-6 7-6(7) 7-6(5),Andy Roddick,Andy Murray,0.5621201727425367,0,1.5,2,2,0.6666666666666666,12.0
60,Australian Open,20170116,F,217.0,6-4 3-6 6-1 3-6 6-3,Roger Federer,Rafael Nadal,0.5617318910304482,2,3.2,0,4,0.7297297297297297,37.0
61,US Open,19840828,SF,172.8,3-6 6-3 6-4 6-7 7-6,Ivan Lendl,Pat Cash,0.5615922301431457,2,2.0,0,3,0.625,0.0
62,Wimbledon,19820621,F,172.8,3-6 6-3 6-7 7-6 6-4,Jimmy Connors,John McEnroe,0.5615922301431457,2,2.0,0,3,0.625,0.0
63,Roland Garros,20090525,SF,209.0,3-6 7-6(2) 2-6 6-1 6-4,Roger Federer,Juan Martin del Potro,0.5584285244315433,2,3.0,1,3,0.64,25.0
64,Roland Garros,20110522,SF,219.0,7-6(5) 6-3 3-6 7-6(5),Roger Federer,Novak Djokovic,0.5568490869344452,0,2.0,2,2,0.7894736842105263,38.0
65,Australian Open,20120116,SF,290.0,6-3 3-6 6-7(4) 6-1 7-5,Novak Djokovic,Andy Murray,0.5522379669313298,2,2.8,1,2,0.64,50.0
66,US Open,19980831,SF,160.0,6-7(8) 6-4 2-6 6-4 6-3,Patrick Rafter,Pete Sampras,0.5521484959731353,2,2.4,1,3,0.3333333333333333,9.0
67,Wimbledon,20140623,SF,182.0,6-4 3-6 7-6(2) 7-6(7),Novak Djokovic,Grigor Dimitrov,0.5443383847007598,0,1.75,2,2,0.6470588235294118,17.0
68,Wimbledon,20010625,F,182.0,6-3 3-6 6-3 2-6 9-7,Goran Ivanisevic,Patrick Rafter,0.5434856285039416,2,3.0,0,4,0.5,12.0
69,Australian Open,19851125,SF,185.60000000000002,6-7 7-5 6-1 4-6 9-7,Stefan Edberg,Ivan Lendl,0.5432946121118984,2,2.4,0,3,0.625,0.0
70,Australian Open,19940117,SF,153.60000000000002,3-6 7-6(7) 7-6(7) 7-6(4),Todd Martin,Stefan Edberg,0.5378182873730043,0,1.5,3,1,0.6,25.0
71,US Open,19690827,SF,166.4,3-6 6-4 4-6 6-3 8-6,Tony Roche,John Newcombe,0.5367787750078261,2,2.4,0,3,0.625,0.0
72,Roland Garros,19930524,F,140.8,6-4 2-6 6-2 3-6 6-3,Sergi Bruguera,Jim Courier,0.5356829733344717,2,3.2,0,4,0.7272727272727273,33.0
73,US Open,19720830,F,160.0,3-6 6-3 6-7 6-4 6-3,Ilie Nastase,Arthur Ashe,0.5346068293064686,2,2.4,0,3,0.625,0.0
74,Roland Garros,19810525,SF,160.0,3-6 6-4 4-6 7-6 6-2,Ivan Lendl,Jose-Luis Clerc,0.5346068293064686,2,2.4,0,3,0.625,0.0
75,Wimbledon,19720626,F,160.0,4-6 6-3 6-3 4-6 7-5,Stan Smith,Ilie Nastase,0.5346068293064686,2,2.4,0,3,0.625,0.0
76,Wimbledon,20050620,SF,179.0,6-7(6) 6-2 7-6(10) 7-6(5),Andy Roddick,Thomas Johansson,0.5310200086323837,0,1.75,3,1,0.5555555555555556,9.0
77,Wimbledon,19800623,F,176.0,1-6 7-5 6-3 6-7 8-6,Bjorn Borg,John McEnroe,0.5287159388428812,2,2.6,0,3,0.625,0.0
78,Australian Open,20240115,F,224.0,3-6 3-6 6-4 6-4 6-3,Jannik Sinner,Daniil Medvedev,0.5278805316030621,3,2.6,0,1,0.6190476190476191,21.0
79,Australian Open,19880111,SF,140.8,6-4 2-6 6-2 4-6 6-2,Pat Cash,Ivan Lendl,0.5278079733344717,2,3.2,0,4,0.625,0.0
80,US Open,20210830,SF,214.0,4-6 6-2 6-4 4-6 6-2,Novak Djokovic,Alexander Zverev,0.52616611172771,2,2.8,0,3,0.5714285714285714,21.0
81,Australian Open,20060116,SF,207.0,3-6 5-7 6-3 6-4 6-4,Marcos Baghdatis,David Nalbandian,0.5242653888841458,3,2.4,0,1,0.5,30.0
82,Australian Open,19801226,SF,156.8,6-7 6-4 6-2 2-6 6-4,Kim Warwick,Guillermo Vilas,0.5222001017388087,2,2.6,0,3,0.625,0.0
83,Roland Garros,19760531,SF,156.8,6-7 6-0 4-6 6-4 6-4,Harold Solomon,Raul Ramirez,0.5222001017388087,2,2.6,0,3,0.625,0.0
84,Roland Garros,20150524,SF,226.0,6-3 6-7(1) 7-6(3) 6-4,Stan Wawrinka,Jo-Wilfried Tsonga,0.5205550136600358,0,1.75,2,2,0.875,32.0
85,US Open,19860826,SF,150.4,4-6 6-3 6-4 3-6 6-3,Miloslav Mecir Sr.,Boris Becker,0.5200281560374512,2,2.6,0,3,0.625,0.0
86,US Open,19850827,SF,150.4,3-6 6-4 4-6 6-3 6-3,John McEnroe,Mats Wilander,0.5200281560374512,2,2.6,0,3,0.625,0.0
87,Wimbledon,19970623,SF,180.0,6-7 6-2 6-1 5-7 6-4,Cedric Pioline,Michael Stich,0.5187526501892484,2,2.8,0,3,0.625,16.0
88,US Open,20240826,SF,198.0,4-6 7-5 4-6 6-4 6-1,Taylor Fritz,Frances Tiafoe,0.5169320021912973,2,2.6,0,3,0.375,16.0
89,Australian Open,20040119,SF,222.0,7-6(6) 7-6(6) 5-7 1-6 6-3,Marat Safin,Andre Agassi,0.5153892199550357,1,2.4,2,2,0.6,15.0
90,US Open,20100830,SF,224.0,5-7 6-1 5-7 6-2 7-5,Novak Djokovic,Roger Federer,0.5147653379585735,2,3.0,0,3,0.5263157894736842,19.0
