tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-301,Auckland,Hard,32,250,O,20260114,14,S0S1,1,,Ben Shelton,L,193,USA,23.266,8,3960,C0DF,,,Francisco Comesana,R,178,ARG,25.273,66,829,7-5 6-4,3,R16,102,12,3,73,55,43,10,11,6,6,1,1,66,48,33,10,11,2,4
2026-301,Auckland,Hard,32,250,O,20260114,15,M0CI,,,Fabian Marozsan,R,193,HUN,26.27,52,975,RH16,2,,Casper Ruud,R,183,NOR,27.064,13,2795,6-4 6-4,3,R16,81,4,0,58,41,34,9,10,1,1,6,0,63,43,33,8,10,7,9
2026-301,Auckland,Hard,32,250,O,20260114,16,D0FJ,4,,Luciano Darderi,R,183,ITA,23.915,24,1579,TE30,,,Alejandro Tabilo,L,188,CHI,28.619,81,722,1-6 7-5 6-3,3,R16,108,9,3,77,46,34,16,14,5,8,11,3,76,48,38,12,14,2,5
2026-301,Auckland,Hard,32,250,O,20260114,17,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.522,63,865,N771,5,,Cameron Norrie,L,188,GBR,30.396,28,1523,4-6 6-3 7-6(4),3,R16,122,25,3,102,73,57,15,16,3,4,3,2,81,55,43,19,15,3,4
2026-301,Auckland,Hard,32,250,O,20260114,18,GC88,,,Marcos Giron,R,180,USA,32.476,60,895,M0QI,6,,Alex Michelsen,R,193,USA,21.388,37,1350,6-4 6-4,3,R16,87,4,0,51,39,30,7,10,0,1,4,3,74,49,33,10,10,5,8
2026-301,Auckland,Hard,32,250,O,20260114,19,B0BI,7,,Sebastian Baez,R,170,ARG,25.046,39,1250,B0CD,,,Jenson Brooksby,R,193,USA,25.218,48,1017,7-5 6-0,3,R16,87,1,3,68,55,33,7,9,7,9,0,5,53,35,16,6,9,0,6
2026-301,Auckland,Hard,32,250,O,20260114,20,S0JA,,,Eliot Spizzirri,R,185,USA,24.06,89,672,BT72,8,,Nuno Borges,R,185,POR,28.901,46,1070,7-6(6) 6-4,3,R16,98,7,0,66,49,40,9,11,1,2,4,0,76,55,40,11,11,4,6
2026-8998,Adelaide,Hard,28,250,O,20260114,13,DH50,1,,Alejandro Davidovich Fokina,R,180,ESP,26.612,15,2585,H0BH,,,Rinky Hijikata,R,178,AUS,24.89,115,527,6-3 6-2,3,R16,83,0,2,43,25,19,8,8,3,5,1,3,62,34,19,9,9,5,11
2026-8998,Adelaide,Hard,28,250,O,20260114,14,PL56,2,,Tommy Paul,R,185,USA,28.663,21,2000,O522,,,Reilly Opelka,R,211,USA,28.381,60,861,6-4 6-4,3,R16,71,6,2,54,31,26,16,10,0,0,15,1,55,36,28,9,10,3,5
2026-8998,Adelaide,Hard,28,250,O,20260114,15,MU94,,,Jaume Munar,R,183,ESP,28.695,38,1295,C0AU,3,,Francisco Cerundolo,R,185,ARG,27.422,20,2035,3-6 7-5 6-4,3,R16,148,14,3,89,61,45,15,16,4,7,2,3,99,59,41,23,15,9,12
